DI3,DI2,DI1,DI0,DATA_TYPE,LENGTH,unit,SB_type,data_des
0,A8,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)B相关联电能
0,A9,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)B相正向有功基波电能
0,AA,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)B相反向有功基波电能
0,AB,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)B相正向有功谐波电能
0,AC,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)B相反向有功谐波电能
0,AD,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)B相铜损有功电能补偿量
0,AE,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)B相铁损有功电能补偿量
0,3D,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相正向有功电能
0,3E,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相反向有功电能
0,3F,0,0C,XXXXXX.XX,4,kvarh,0,(上12结算日)C相组合无功1电能
0,40,0,0C,XXXXXX.XX,4,kvarh,0,(上12结算日)C相组合无功2电能
0,41,0,0C,XXXXXX.XX,4,kvarh,0,(上12结算日)C相第一象限无功电能
0,42,0,0C,XXXXXX.XX,4,kvarh,0,(上12结算日)C相第二象限无功电能
0,43,0,0C,XXXXXX.XX,4,kvarh,0,(上12结算日)C相第三象限无功电能
0,44,0,0C,XXXXXX.XX,4,kvarh,0,(上12结算日)C相第四象限无功电能
0,45,0,0C,XXXXXX.XX,4,kVAh,0,(上12结算日)C相正向视在电能
0,46,0,0C,XXXXXX.XX,4,kVAh,0,(上12结算日)C相反向视在电能
0,BC,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相关联电能
0,BD,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相正向有功基波电能
0,BE,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相反向有功基波电能
0,BF,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相正向有功谐波电能
0,C0,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相反向有功谐波电能
0,C1,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相铜损有功电能补偿量
0,C2,0,0C,XXXXXX.XX,4,kWh,0,(上12结算日)C相铁损有功电能补偿量
0,ZZ,ZZ,FF,XXXXXX.XX,52,kWh,0,某项当前和12个结算日电能数据块
1,1,0,0,XX.XXXX YYMMDDhhmm,8,kW year_date,0,(当前)正向有功总最大需量及发生时间
1,1,1…3F,0,XX.XXXX YYMMDDhhmm,8,kW year_date,3,(当前)正向有功费率...最大需量及发生时间
1,1,FF,0,XX.XXXX YYMMDDhhmm,8,kW year_date,0,(当前)正向有功最大需量及发生时间数据块
1,2,0,0,XX.XXXX YYMMDDhhmm,8,kW year_date,0,(当前)反向有功总最大需量及发生时间
1,2,1…3F,0,XX.XXXX YYMMDDhhmm,8,kW year_date,3,(当前)反向有功费率...最大需量及发生时间
1,2,FF,0,XX.XXXX YYMMDDhhmm,8,kW year_date,0,(当前)反向有功最大需量及发生时间数据块
1,3,0,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)组合无功1总最大需量及发生时间
1,3,1…3F,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,3,(当前)组合无功1费率...最大需量及发生时间
1,3,FF,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)组合无功1最大需量及发生时间数据块
1,4,0,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)组合无功2总最大需量及发生时间
1,4,1…3F,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,3,(当前)组合无功2费率...最大需量及发生时间
1,4,FF,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)组合无功2最大需量及发生时间数据块
1,5,0,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第一象限无功总最大需量及发生时间
1,5,1…3F,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,3,(当前)第一象限无功费率...最大需量及发生时间
1,5,FF,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第一象限无功最大需量及发生时间数据块
1,6,0,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第二象限无功总最大需量及发生时间
1,6,1…3F,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,3,(当前)第二象限无功费率...最大需量及发生时间
1,6,FF,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第二象限无功最大需量及发生时间数据块
1,7,0,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第三象限无功总最大需量及发生时间
1,7,1…3F,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,3,(当前)第三象限无功费率...最大需量及发生时间
1,7,FF,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第三象限无功最大需量及发生时间数据块
1,8,0,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第四象限无功总最大需量及发生时间
1,8,1…3F,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,3,(当前)第四象限无功费率...最大需量及发生时间
1,8,FF,0,XX.XXXX YYMMDDhhmm,8,kvar year_date,0,(当前)第四象限无功最大需量及发生时间数据块
1,9,0,0,XX.XXXX YYMMDDhhmm,8,kVA year_date,0,(当前)正向视在总最大需量及发生时间
1,9,1…3F,0,XX.XXXX YYMMDDhhmm,8,kVA year_date,3,(当前)正向视在费率...最大需量及发生时间
1,9,FF,0,XX.XXXX YYMMDDhhmm,8,kVA year_date,0,(当前)正向视在最大需量及发生时间数据块
1,0A,0,0,XX.XXXX YYMMDDhhmm,8,kVA year_date,0,(当前)反向视在总最大需量及发生时间
