DI3,DI2,DI1,DI0,DATA_TYPE,LENGTH,unit,SB_type,data_des
2,1,1,0,XXX.X,2,V,00,A相电压
2,1,2,0,XXX.X,2,V,00,B相电压
2,1,3,0,XXX.X,2,V,00,C相电压
2,1,FF,0,XXX.X,2,V,00,电压数据块
2,2,1,0,XXX.XXX,3,A,00,A相电流
2,2,2,0,XXX.XXX,3,A,00,B相电流
2,2,3,0,XXX.XXX,3,A,00,C相电流
2,2,FF,0,XXX.XXX,3,A,00,电流数据块
2,3,0,0,XX.XXXX,3,kW,00,瞬时总有功功率
2,3,1,0,XX.XXXX,3,kW,00,瞬时A相有功功率
2,3,2,0,XX.XXXX,3,kW,00,瞬时B相有功功率
2,3,3,0,XX.XXXX,3,kW,00,瞬时C相有功功率
2,3,FF,0,XX.XXXX,3,kW,00,瞬时有功功率数据块
2,4,0,0,XX.XXXX,3,kvar,00,瞬时总无功功率
2,4,1,0,XX.XXXX,3,kvar,00,瞬时A相无功功率
2,4,2,0,XX.XXXX,3,kvar,00,瞬时B相无功功率
2,4,3,0,XX.XXXX,3,kvar,00,瞬时C相无功功率
2,4,FF,0,XX.XXXX,3,kvar,00,瞬时无功功率数据块
2,5,0,0,XX.XXXX,3,kVA,00,瞬时总视在功率
2,5,1,0,XX.XXXX,3,kVA,00,瞬时A相视在功率
2,5,2,0,XX.XXXX,3,kVA,00,瞬时B相视在功率
2,5,3,0,XX.XXXX,3,kVA,00,瞬时C相视在功率
2,5,FF,0,XX.XXXX,3,kVA,00,瞬时视在功率数据块
2,6,0,0,X.XXX,2,,00,总功率因数
2,6,1,0,X.XXX,2,,00,A相功率因数
2,6,2,0,X.XXX,2,,00,B相功率因数
2,6,3,0,X.XXX,2,,00,C相功率因数
2,6,FF,0,X.XXX,2,,00,功率因数数据块
2,7,1,0,X.XXX,2,°,00,A相相角
2,7,2,0,X.XXX,2,°,00,B相相角
2,7,3,0,X.XXX,2,°,00,C相相角
2,7,FF,0,X.XXX,2,°,00,相角数据块
2,8,1,0,X.XXX,2,%,00,A相电压波形失真度
2,8,2,0,X.XXX,2,%,00,B相电压波形失真度
2,8,3,0,X.XXX,2,%,00,C相电压波形失真度
2,8,FF,0,X.XXX,2,%,00,电压波形失真度数据块
2,9,1,0,X.XXX,2,%,00,A相电流波形失真度
2,9,2,0,X.XXX,2,%,00,B相电流波形失真度
2,9,3,0,X.XXX,2,%,00,C相电流波形失真度
2,9,FF,0,X.XXX,2,%,00,电流波形失真度数据块
2,0A,1,1...15,X.XXX,2,%,03,A相电压...次谐波含量
2,0A,1,FF,X.XXX,2,%,00,A相电压谐波含量数据块
2,0A,2,1...15,X.XXX,2,%,03,B相电压...次谐波含量
2,0A,2,FF,X.XXX,2,%,00,B相电压谐波含量数据块
2,0A,3,1...15,X.XXX,2,%,03,C相电压...次谐波含量
2,0A,3,FF,X.XXX,2,%,00,C相电压谐波含量数据块
2,0B,1,1...15,X.XXX,2,%,03,A相电流...次谐波含量
2,0B,1,FF,X.XXX,2,%,00,A相电流谐波含量数据块
2,0B,2,1...15,X.XXX,2,%,03,B相电流...次谐波含量
2,0B,2,FF,X.XXX,2,%,00,B相电流谐波含量数据块
2,0B,3,1...15,X.XXX,2,%,03,C相电流...次谐波含量
2,0B,3,FF,X.XXX,2,%,00,C相电流谐波含量数据块
2,80,0,1,XXX.XXX,3,A,00,零线电流
2,80,0,2,XX.XX,2,Hz,00,电网频率
2,80,0,3,XX.XXXX,3,kW,00,一分钟有功总平均功率
2,80,0,4,XX.XXXX,3,kW,00,当前有功需量
2,80,0,5,XX.XXXX,3,kvar,00,当前无功需量
2,80,0,6,XX.XXXX,3,kVA,00,当前视在需量
2,80,0,7,XXX.X,2,℃,00,表内温度
2,80,0,8,XX.XX,2,V,00,时钟电池电压(内部)
2,80,0,9,XX.XX,2,V,00,停电抄表电池电压 (外部)
2,80,,0A,XXXXXXXX,4,分,00,内部电池工作时间
