DI3,DI2,DI1,DI0,DATA_TYPE,LENGTH,unit,SB_type,data_des
3,5,0,0,XXXXXX，XXXXXX,6,"次 分",00,全失压总次数 总累计时间
3,5,0,1...0A,,15,A,04,（上...次）全失压发生时刻 电流值 结束时刻
3,7,0,0,,6,"次 分",00,电压逆相序总次数，总累计时间
3,10,0,0...0C,,27,分%%分分VV,04,（上...月）电压合格率统计数据：电压监测时间 电压合格率 电压超限率 电压超上限时间 电压超下限时间 最高电压 最高电压出现时间 最低电压 最低电压出现时间
3,10,1,0...0C,,25,分%%分分VV,00,（上...月）A相电压合格率统计数据：A相电压监测时间A相电压合格率 A相电压超限率 A相电压超上限时间 A相电压超下限时间 A相最高电压 A相最高电压出现时间 A相最低电压 A相最低电压出现时间
3,10,2,0...0C,,25,,04,（上...月）B相电压合格率统计数据(同A相)
3,10,3,0...0C,,25,,04,（上...月）C相电压合格率统计数据(同A相)
3,11,0,0,,3,次,00,掉电总次数
3,11,0,1...0A,,12,,04,（上...次）掉电发生时刻，结束时刻
3,12,0,0,,18,次,00,正向有功需量超限总次数 反向有功需量超限总次数 第1象限无功需量超限总次数 第2象限无功需量超限总次数 第3象限无功需量超限总次数 第4象限无功需量超限总次数
3,12,1,1...0A,,20,...kvar,04,（上...次）正向有功需量超限记录 发生时刻 结束时刻 需量超限期间正向有功最大需量及发生时间
3,12,2,1...0A,,20,...kvar,04,（上...次）反向有功需量超限记录（同正向）
3,12,3,1...0A,,20,,04,（上...次）第1象限无功需量超限记录（同正向）
3,12,4,1...0A,,20,,04,（上...次）第2象限无功需量超限记录（同正向）
3,12,5,1...0A,,20,,04,（上...次）第3象限无功需量超限记录（同正向）
3,12,6,1...0A,,20,,04,（上...次）第4象限无功需量超限记录（同正向）
3,30,0,0,XXXXXX,3,,00,编程总次数
3,30,0,1...0A,,50,,04,（上...次）编程记录：发生时刻6 操作者代码4 编程的前10个数据标识码4x10(不足补FFFFFFFFH)
3,30,1,0,XXXXXX,3,次,00,电表清零总次数
3,30,1,1...0A,,106,,04,"（上...次）电表清零记录：发生时刻操作者代码电表清零前正向有功总电能电表清零前反向有功总电能等等"
3,30,2,0,XXXXXX,3,次,00,需量清零总次数
3,30,2,1...0A,,202,,04,（上...次）需量清零记录：202 bytes  10+24*8
3,30,3,0,XXXXXX,3,次,00,事件清零总次数(包括总清及分项清)
3,30,3,1...0A,,14,,04,（上...次）事件清零记录：发生时刻 操作者代码 事件清零数据标识码
3,30,4,0,XXXXXX,3,次,00,校时总次数
3,30,4,1...0A,,16,,04,（上...次）校时记录：操作者代码 校时前时间 校时后时间
3,30,5,0,XXXXXX,3,次,00,时段表编程总次数
3,30,5,1...0A,,682,,04,（上...次）时段表编程记录：682 bytes
3,30,6,0,XXXXXX,3,次,00,时区表编程总次数
3,30,6,1...0A,,94,,04,（上...次）时区表编程记录：94 bytes
3,30,7,0,XXXXXX,3,次,00,周休日编程总次数
3,30,7,1...0A,,11,,04,（上...次）周休日编程记录：发生时刻 操作者代码 周休日编程前采用的日时段表号
3,30,8,0,XXXXXX,3,次,00,节假日编程总次数
3,30,8,1...0A,,1026,,04,（上...次）节假日编程记录：1026 bytes
3,30,9,0,XXXXXX,3,次,00,有功组合方式编程总次数
3,30,9,1...0A,,11,,04,（上...次）有功组合方式编程记录：
3,30,0A,0,XXXXXX,3,次,00,无功组合方式1编程总次数
3,30,0A,1...0A,,11,,04,（上...次）无功组合方式1编程记录(同有功)
3,30,0B,0,XXXXXX,3,次,00,无功组合方式2编程总次数
3,30,0B,1...0A,,11,,04,（上...次）无功组合方式2编程记录(同有功)
3,30,0C,0,XXXXXX,3,次,00,结算日编程总次数
3,30,0C,1...0A,,16,,04,（上...次）结算日编程记录：
3,30,0D,0,XXXXXX,3,次,00,开表盖总次数
3,30,0D,1...0A,,60,,04,（上...次）开表盖记录：
3,30,0E,0,XXXXXX,3,次,00,开端钮盒总次数
3,30,0E,1...0A,,60,,04,（上...次）开端钮盒记录(同开表盖)
