DI3,DI2,DI1,DI0,DATA_TYPE,LENGTH,unit,SB_type,data_des
4,0,1,1,YYMMDDWW,4,年月日星期,00,日期及星期(其中0代表星期天)
4,0,1,2,hhmmss,3,时分秒,00,时间
4,0,1,3,NN,1,分,00,最大需量周期
4,0,1,4,NN,1,分,00,滑差时间
4,0,1,5,XXXX,2,毫秒,00,校表脉冲宽度
4,0,1,6,YYMMDDhhmm,5,year_date,00,两套时区表切换时间
4,0,1,7,YYMMDDhhmm,5,year_date,00,两套日时段表切换时间
4,0,2,1,NN,1,个,00,年时区数p≤14
4,0,2,2,NN,1,个,00,日时段表数q≤8
4,0,2,3,NN,1,个,00,日时段数(每日切换数) m≤14
4,0,2,4,NN,1,个,00,费率数k≤63
4,0,2,5,NNNN,2,个,00,公共假日数n≤254
4,0,2,6,NN,1,次,00,谐波分析次数
4,0,3,1,NN,1,个,00,自动循环显示屏数
4,0,3,2,NN,1,秒,00,每屏显示时间
4,0,3,3,NN,1,位,00,显示电能小数位数
4,0,3,4,NN,1,位,00,显示功率(最大需量)小数位数
4,0,3,5,NN,1,个,00,按键循环显示屏数
4,0,4,1,NNNNNNNNNNNN,6,,00,通信地址
4,0,4,2,NNNNNNNNNNNN,6,,00,表号
4,0,4,3,NN…NN,32,,00,资产管理编码(ASCII码)
4,0,4,4,XXXXXXXXXXXX,6,,00,额定电压(ASCII码)
4,0,4,5,XXXXXXXXXXXX,6,,00,额定电流/基本电流(ASCII码)
4,0,4,6,XXXXXXXXXXXX,6,,00,最大电流(ASCII码)
4,0,4,7,XXXXXXXX,4,,00,有功准确度等级(ASCII码)
4,0,4,8,XXXXXXXX,4,,00,无功准确度等级(ASCII码)
4,0,4,9,XXXXXX,3,imp/kWh,00,电表有功常数
4,0,4,0A,XXXXXX,3,imp/kvarh,00,电表无功常数
4,0,4,0B,XX…XX,10,,00,电表型号(ASCII码)
4,0,4,0C,XX…XX,10,,00,生产日期(ASCII码)
4,0,4,0D,XX…XX,16,,00,协议版本号(ASCII码)
4,0,5,1...7,XXXX,2,,04,电表运行状态字...
4,0,5,FF,,14,,00,电表运行状态字数据块
4,0,6,1,NN,1,,00,有功组合方式特征字
4,0,6,2,NN,1,,00,无功组合方式1特征字
4,0,6,3,NN,1,,00,无功组合方式2特征字
4,0,7,1,NN,1,,00,调制型红外光口通信速率特征字
4,0,7,2,NN,1,,00,接触式红外光口通信速率特征字
4,0,7,3,NN,1,,00,通信口1通信速率特征字
4,0,7,4,NN,1,,00,通信口2通信速率特征字
4,0,7,5,NN,1,,00,通信口3通信速率特征字
4,0,8,1,NN,1,,00,周休日特征字
4,0,8,2,NN,1,,00,周休日采用的日时段表号
4,0,9,1,NN,1,,00,负荷记录模式字
4,0,9,2,NN,1,,00,冻结数据模式字
4,0,0A,1,MMDDhhmm,4,月日时分,00,负荷记录起始时间
4,0,0A,2,NNNN,2,分,00,第1类负荷记录间隔时间
4,0,0A,3,NNNN,2,分,00,第2类负荷记录间隔时间
4,0,0A,4,NNNN,2,分,00,第3类负荷记录间隔时间
4,0,0A,5,NNNN,2,分,00,第4类负荷记录间隔时间
4,0,0A,6,NNNN,2,分,00,第5类负荷记录间隔时间
4,0,0A,7,NNNN,2,分,00,第6类负荷记录间隔时间
4,0,0B,1,DDhh,2,日时,00,每月第1结算日
4,0,0B,2,DDhh,2,日时,00,每月第2结算日
4,0,0B,3,DDhh,2,日时,00,每月第3结算日
4,0,0C,1...0A,NNNNNNNN,4,,04,(0~9)...级密码
4,0,0E,1,NN.NNNN,3,kW,00,正向有功功率上限值
4,0,0E,2,NN.NNNN,3,kW,00,反向有功功率上限值
4,0,0E,3,NNN.N,2,V,00,电压上限值
4,0,0E,4,NNN.N,2,V,00,电压下限值
4,1,0,0,,42,,00,第一套时区表数据：第1~14时区起始日期及日时段表号
4,1,0,1...8,,42,,04,第一套第...日时段表数据：第1~14时段起始时间及费率号
4,2,0,0,,42,,00,第二套时区表数据：第1~14时区起始日期及日时段表号
4,2,0,1...8,,42,,04,第二套第...日时段表数据：
4,3,0,1...FE,YYMMDDNN,4,,04,第...公共假日日期及日时段表号
4,4,1,1...FE,NNNNNNNN,4,,04,自动循环显示第...屏显示数据项
4,4,2,1...FE,NNNNNNNN,4,,04,按键循环显示第...屏显示数据项
4,80,0,1,NN…NN,32,,00,厂家软件版本号(ASCII码)
4,80,0,2,NN…NN,32,,00,厂家硬件版本号(ASCII码)
4,80,0,3,NN…NN,32,,00,厂家编号(ASCII码)
